entry_id	md5sum	file_name	dataset	dimension	published_value	inferred_value	recommendation	published_in_vocabulary
1bca1e68-79d0-483f-bb64-94aafb3e6715	b6db546a0eb8d1513f71ea5205c39bf2	ZNF169-BGRSLV06-53_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1765c6f7-8e82-4d8c-9483-3845e40bce00	8eddef143734b43d10f1464e2eedf5b8	CNOT4-BGRSLV02-70_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
16a878b9-5b23-4803-a09f-6374f2e80325	991a0e426e6a8ec6f0f2ac45a53903f8	LYAR-BGRSLV04-17_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1a832782-2127-4af4-ab3a-e6ede7675fff	4417b60b293ecede7c475c63d9d66a02	ZCCHC10-BGRSLV07-43_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
194bc92c-bc6f-401c-b389-a56ac770fe16	494469fb148fa2733d841ab8a80b9dd2	ZNHIT3-BGRSLV02-46_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1d2815cc-e40f-48fa-a851-31f1adfb2913	98069af667fabecde9d6dc0b72299d63	ZMAT2-BGRSLV05-68_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1fe3d68f-9b26-43b7-aca6-7045f451cdef	cc20d8347e74b09e102c2cb50ea35916	ZC3HC1-BGRSLV04-66_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1c188f41-20e5-484e-b3c1-eaf8f3e8de5c	4c5299e78fbaa7f8e7c25d095e9059ee	U2AF1-BGRSDLV04-6_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1f4d6490-e6c9-4767-aa72-c6d22714001f	c3abf681ce91c74de8310949d5afa313	EGLN1-BGRSLV03-23_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1d3fb599-6e38-492b-94e3-fcc9f864eb5a	fe61e5030937ee53afa2d72a1ae25f7c	UBR7-BGRSLV04-61_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1c70b0e3-fbad-4db7-821c-1dce62e47b05	414fd768174540233ae3b5100de0a258	ZNF22-BGRSLV02-35_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
20437624-32a4-49c9-a163-6803d37dab39	95cf5876ee55e359328c3901d9fe8a66	NT-BGRSLV02-1_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1972cec1-ae7e-4c34-b0ce-2f930423ff90	7487057c2c0aeb815a04323e4cdf5ab9	TRIM55-BGRSDLV04-100dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
1fae9986-12f9-4161-879a-34a82c96748a	694589648f5cf455c08c7dc40e931792	SNRNP48-BGRSLV03-45_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
22e28bfd-f3ad-4874-8da8-290b6b552d27	2f19c2fb9fe364ddbc95ec8c7a465e01	DZIP3-BGRSDLV04-15dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
21def518-dc9d-430a-9caa-79869d27ccb6	223b107d3360bb24731c2263c947e177	TEX13A-BGRSDLV04-93_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	review	no
