file_name	dataset	slot	azul_value	our_value	recommendation	azul_in_vocab
ERI2-BGRSDLV03-15dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
ZNF277-BGRSDLV02-76dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
ZMAT5-BGRSLV03-55_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
BMI1-BGRSLV02-27_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
RNF41-BGRSLV04-54_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
RNF14-BGRSDLV03-35dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
ZNF800-BGRSLV02-42_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
CXXC1-BGRSLV03-19_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
ZDHHC5-BGRSLV05-59_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
RBM10-BGRSDLV04-23dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
TEX13A-BGRSDLV04-96dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
RNF43-BGRSLV06-34_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
RNF20-BGRSLV02-50_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
ZC3H18-BGRSLV02-65_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	reference_assembly	GRCh38 + Gencode40	GRCh38	compare	no
